Tester,SystemName,Nodes,JVMVendor,CPUDescription,MHz,Chips,Cores,TotalThreads,TotalMemory,SSJ,AVG,AVGidle,Overall
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,450,585",231,52.3,"5,506"
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660, 2.20 GHz)",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,446,931",242,51,"5,425"
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.20 GHz)",1,IBM Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,447,399",248,54.9,"5,244"
Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L, 2.60 GHz)",1,IBM Corporation,Intel Xeon E5-4650L 2.60 GHz,2600,4,32,64,48,"2,790,966",457,108,"5,285"
Dell Inc.,"PowerEdge C6105 (AMD Opteron 4376HE, 2.6 GHz)
",4,IBM Corporation,AMD Opteron 4376HE,2600,8,64,64,64,"3,209,556",573,106,"4,510"
Dell Inc.,"PowerEdge C6145 (AMD Opteron 6380, 2.50 GHz)
",2,IBM Corporation,AMD Opteron 6380 (2.50GHz),2500,8,128,128,128,"6,175,935","1,105",196,"4,499"
Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2670, 2.60 GHz)
",16,IBM Corporation,Intel Xeon E5-2670 2.60 GHz,2600,32,256,512,384,"22,753,179","4,057",833,"4,982"
Dell Inc.,"PowerEdge C5220 (Intel Xeon E3-1265LV2)
",12,IBM Corporation,Intel Xeon E3-1265LV2,2500,12,48,96,96,"5,258,070",672,194,"6,000"
Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2660 v2, 2.20 GHz)
",16,IBM Corporation,Intel Xeon E5-2660 v2 (Intel Turbo Boost Technology up to 3.0 GHz),2200,32,320,640,384,NC,NC,NC,NC
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660 v2, 2.20 GHz)",1,IBM Corporation,"Intel Xeon E5-2660 v2, 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz)",2200,2,20,40,24,NC,NC,NC,NC
Dell Inc.,PowerEdge R620 (Intel Xeon E5-2660 v2 2.20 GHz),1,IBM Corporation,Intel Xeon E5-2660 v2 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,20,40,24,NC,NC,NC,NC
Dell Inc.,PowerEdge T620 (Intel Xeon E5-2660 v2 2.20 GHz),1,IBM Corporation,Intel Xeon E5-2660 v2 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,20,40,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge M520 (Intel Xeon E5-2470 v2 2.40 GHz)
",16,IBM Corporation,Intel Xeon E5-2470 v2 (Intel Turbo Boost Technology up to 3.20 GHz),2400,32,320,640,384,NC,NC,NC,NC
Dell Inc.,PowerEdge R820 (Intel Xeon E5-4650 v2 2.40 GHz),1,IBM Corporation,Intel Xeon E5-4650 v2 2.40 GHz (Intel Turbo Boost Technology up to 2.90 GHz),2400,4,40,80,48,NC,NC,NC,NC
Dell Inc.,"PowerEdge M820 (Intel Xeon E5-4650 v2, 2.40 GHz)
",8,IBM Corporation,Intel Xeon E5-4650 v2 2.40 GHz (Intel Turbo Boost Technology up to 2.90 GHz),2400,32,320,640,384,NC,NC,NC,NC
Dell Inc.,PowerEdge R730 (Intel Xeon E5-2699 v3 2.30 GHz),1,IBM Corporation,Intel Xeon E5-2699 v3 2.30 GHz,2300,2,36,72,64,"3,253,446",272,46.9,"10,206"
Dell Inc.,PowerEdge T630 (Intel Xeon E5-2699 v3 2.30 GHz),1,IBM Corporation,Intel Xeon E5-2699 v3 2.30 GHz,2300,2,36,72,64,"3,246,430",273,48.1,"10,103"
Dell Inc.,PowerEdge R630 (Intel Xeon E5-2699 v3 2.30 GHz),1,IBM Corporation,Intel Xeon E5-2699 v3 2.30 GHz,2300,2,36,72,64,"3,240,418",287,51.2,"9,749"
Dell Inc.,"PowerEdge C6320 (Intel Xeon E5-2699 v3 2.30 GHz)
",4,IBM Corporation,Intel Xeon E5-2699 v3 2.30 GHz,2300,8,144,288,256,"12,942,825","1,229",210,"9,472"
Dell Inc.,"PowerEdge M830 (Intel Xeon E5-4669 v3, 2.10 GHz)
",8,IBM Corporation,Intel Xeon E5-4669 v3 2.10 GHz (Intel Turbo Boost technology up to 2.90 GHz),2100,32,576,"1,152",1024,NC,NC,NC,NC
Dell Inc.,"PowerEdge FC630 (Intel Xeon E5-2699 v3 2.30 GHz)
",4,IBM Corporation,Intel Xeon E5-2699 v3 2.30 GHz,2300,8,144,288,256,"12,981,292","1,256",228,"9,288"
Dell Inc.,PowerEdge R730 (Intel Xeon E5-2699 v4 2.20 GHz),1,Oracle Corporation,Intel Xeon E5-2699 v4 2.20 GHz,2200,2,44,88,128,"3,341,589",269,44.9,"10,802"
Dell Inc.,"PowerEdge M630 (Intel Xeon E5-2699 v4, 2.20 GHz)
",16,Oracle,Intel Xeon E5-2699 v4 2.20 GHz,2200,32,704,1408,2048,"57,024,126","4,918",878,"10,062"
Dell Inc.,PowerEdge R630 (Intel Xeon E5-2699 v4 2.20 GHz),1,Oracle Corporation,Intel Xeon E5-2699 v4 2.20 GHz,2200,2,44,88,128,"3,529,367",279,46.7,"11,157"
Dell Inc.,PowerEdge R730 (Intel Xeon E5-2699 v4 2.20 GHz),1,Oracle Corporation,Intel Xeon E5-2699 v4 2.20 GHz,2200,2,44,88,128,"3,513,207",272,44.6,"11,423"
Dell Inc.,PowerEdge R830 (Intel Xeon E5-4669 v4 2.20 GHz),1,Oracle Corporation,Intel Xeon E5-4669 v4 2.20 GHz,2200,4,88,176,256,"7,064,778",562,86.4,"11,064"
Dell Inc.,PowerEdge R740,1,Oracle Corporation,Intel Xeon Platinum 8180 2.50 GHz,2500,2,56,112,192,"5,727,798",457,52.3,"11,790"
Dell Inc.,PowerEdge R640,1,Oracle Corporation,Intel Xeon Platinum 8180 2.50 GHz,2500,2,56,112,192,"5,759,892",469,55,"11,542"
Dell Inc.,PowerEdge T640,1,Oracle Corporation,Intel Xeon Platinum 8180 2.50 GHz,2500,2,56,112,192,"5,805,252",469,56,"11,537"
Dell Inc.,PowerEdge R940,1,Oracle Corporation,Intel Xeon Platinum 8180 2.50 GHz,2500,4,112,224,384,"11,528,804",915,106,"11,958"
Dell Inc.,PowerEdge R7425 (AMD EPYC 7601 2.20 GHz),1,Oracle Corporation,AMD EPYC 7601 2.20 GHz,2200,2,64,128,128,"4,376,919",287,84.9,"11,064"
Dell Inc.,PowerEdge R840 (Intel Xeon Platinum 8180 2.50 GHz),1,Oracle Corporation,Intel Xeon Platinum 8180 2.50 GHz,2500,4,112,224,384,"11,546,450",939,89.8,"11,872"
Dell Inc.,PowerEdge R840 (Intel Xeon Platinum 8180 2.50 GHz),1,Oracle Corporation,Intel Xeon Platinum 8180 2.50 GHz,2500,4,112,224,384,"11,355,761",923,85.6,"11,962"
Dell Inc.,PowerEdge R7425 (AMD EPYC 7601 2.20 GHz),1,Oracle Corporation,"AMD EPYC 7601 2.20 GHz, Dell SKU [338-BNCG]",2200,2,64,128,128,"4,374,583",268,77.5,"11,867"
Dell Inc.,"PowerEdge R740 (Intel Xeon Platinum 8280, 2.70 GHz)",1,Oracle Corporation,"Intel Xeon Platinum 8280, 2.70 GHz",2700,2,56,112,192,"5,811,114",432,49.8,"12,831"
Dell Inc.,"PowerEdge R240 (Intel Xeon E-2176G, 3.70 GHz)",1,Oracle Corporation,Intel Xeon E-2176G,3700,1,6,12,32,"856,931",93.1,20,"8,913"
Dell Inc.,"PowerEdge R7515 (AMD EPYC 7742, 2.25 GHz)",1,Oracle Corporation,AMD EPYC 7742 2.25 GHz,2250,1,64,128,128,"5,676,534",246,99.5,"16,501"
Dell Inc.,"PowerEdge R6525 (AMD EPYC 7702, 2.00 GHz)",1,Oracle Corporation,AMD EPYC 7702 2.00 GHz,2000,2,128,256,128,"11,115,782",404,81.6,"20,184"
Dell Inc.,"PowerEdge R7525 (AMD EPYC 7702, 2.00 GHz)",1,Oracle Corporation,AMD EPYC 7702 2.00 GHz,2000,2,128,256,128,"11,118,115",393,72.3,"20,910"
Dell Inc.,"PowerEdge R6515 (AMD EPYC 7702P, 2.00 GHz)",1,Oracle Corporation,AMD EPYC 7702P 2.00 GHz,2000,1,64,128,64,"6,124,305",231,54.5,"18,463"
"Dell Inc.
","PowerEdge R710 (Intel Xeon X5570, 2.93 GHz)",1,Oracle Corporation,Intel Xeon X5570,2933,2,8,16,12,"541,345",237,75.6,"1,746"
"Dell Inc.
","PowerEdge R620 (Intel Xeon E5-2660, 2.2 GHz)",1,Oracle Corporation,Intel Xeon E5-2660 2.20 GHz,2200,2,16,32,24,"1,261,803",258,56.1,"4,525"
"Dell Inc.
","PowerEdge T620 (Intel Xeon E5-2660, 2.2 GHz)",1,Oracle Corporation,Intel Xeon E5-2660 2.20 GHz,2200,2,16,32,24,"1,290,357",240,50.3,"4,874"
Five9 Network Systems,Five9 N1200 Carrier Grade Server,1,IBM Corporation,Intel Xeon X5670,2930,2,12,24,12,"542,457",190,76.5,"1,990"
Fujitsu,PRIMERGY TX100 S1 (Intel Xeon L3360),1,Oracle Corporation,Intel Xeon L3360,2833,1,4,4,8,"212,779",94.7,46.2,"1,500"
Fujitsu,PRIMERGY RX100 S6 (Intel Xeon X3470),1,Oracle Corporation,Intel Xeon X3470,2933,1,4,8,4,"278,441",130,35,"1,842"
Fujitsu,PRIMERGY TX150 S7 (Intel Xeon X3470),1,Oracle Corporation,Intel Xeon X3470,2933,1,4,8,4,"276,514",112,24.3,"2,187"
Fujitsu,"PRIMERGY CX120 S1 (Intel Xeon L5530)
",38,IBM Corporation,Intel Xeon L5530,2400,76,304,608,304,"19,939,326","6,303","1,842","2,320"
Fujitsu,PRIMERGY RX300 S6 (Intel Xeon X5670),1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"917,763",245,77.9,"2,822"
Fujitsu,PRIMERGY RX200 S6 (Intel Xeon X5670),1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"913,790",242,76.2,"2,850"
Fujitsu,PRIMERGY TX300 S6 (Intel Xeon X5670),1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"916,072",236,78.5,"2,900"
Fujitsu,PRIMERGY TX150 S7 (Intel Xeon X3480),1,IBM Corporation,Intel Xeon X3480,3067,1,4,8,4,"330,353",113,24.8,"2,513"
Fujitsu,PRIMERGY RX100 S6 (Intel Xeon X3480),1,IBM Corporation,Intel Xeon X3480,3067,1,4,8,4,"325,193",127,33.4,"2,155"
Fujitsu,PRIMERGY TX300 S6 (Intel Xeon X5675),1,IBM Corporation,Intel Xeon X5675,3066,2,12,24,12,"930,315",236,74.8,"2,989"
Fujitsu,PRIMERGY TX140 S1 (Intel Xeon E3-1260L),1,Oracle Corporation,Intel Xeon E3-1260L,2400,1,4,8,8,"319,659",53.6,16.8,"4,549"
Fujitsu,PRIMERGY TX120 S3 (Intel Xeon E3-1260L),1,Oracle Corporation,Intel Xeon E3-1260L,2400,1,4,8,8,"322,691",54,14.9,"4,697"
Fujitsu,PRIMERGY RX100 S7 (Intel Xeon E3-1260L),1,Oracle Corporation,Intel Xeon E3-1260L,2400,1,4,8,8,"319,958",57.2,17.8,"4,323"
Fujitsu,"PRIMERGY BX920 S2 (Intel Xeon X5675)
",18,Oracle Corporation,Intel Xeon X5675,3067,36,216,432,216,"17,108,146","4,272","1,032","3,221"
Fujitsu,PRIMERGY RX300 S7 (Intel Xeon E5-2660),1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,32,"1,343,300",245,53.1,"5,032"
Fujitsu,PRIMERGY RX200 S7 (Intel Xeon E5-2660),1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,32,"1,338,554",257,58.6,"4,722"
Fujitsu,"PRIMERGY BX920 S3 (Intel Xeon E5-2470)
",18,Oracle Corporation,Intel Xeon E5-2470,2300,36,288,576,432,"23,884,347","4,965","1,014","4,677"
Fujitsu,PRIMERGY RX100 S7p (Intel Xeon E3-1265LV2),1,Oracle Corporation,Intel Xeon E3-1265LV2,2500,1,4,8,8,"416,999",59.5,19.1,"5,576"
Fujitsu,PRIMERGY TX120 S3p (Intel Xeon E3-1265LV2),1,Oracle Corporation,Intel Xeon E3-1265LV2,2500,1,4,8,8,"420,255",56.2,15.7,"6,109"
Fujitsu,PRIMERGY TX300 S7 (Intel Xeon E5-2660),1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,24,"1,309,437",240,52.6,"5,032"
Fujitsu,PRIMERGY RX350 S7 (Intel Xeon E5-2660),1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,24,"1,306,867",240,52.3,"5,035"
Fujitsu,PRIMERGY TX140 S1p (Intel Xeon E3-1265LV2),1,Oracle Corporation,Intel Xeon E3-1265LV2,2500,1,4,8,8,"417,806",55.3,18.9,"5,887"
Fujitsu,PRIMERGY RX500 S7 (Intel Xeon E5-4640),1,Oracle Corporation,Intel Xeon E5-4640,2400,4,32,64,48,"2,347,591",402,94.6,"5,029"
Fujitsu,PRIMERGY TX200 S7 (Intel Xeon E5-2470),1,Oracle Corporation,Intel Xeon E5-2470,2300,2,16,32,24,"1,367,462",252,51.4,"5,177"
Fujitsu,PRIMERGY TX100 S3p (Intel Xeon E3-1240V2),1,Oracle Corporation,Intel Xeon E3-1240V2,3400,1,4,8,8,"467,481",72.5,14.1,"6,008"
Fujitsu,PRIMERGY TX200 S7 (Intel Xeon E5-2470),1,IBM Corporation,Intel Xeon E5-2470,2300,2,16,32,24,"1,516,025",252,50.7,"5,689"
Fujitsu,PRIMERGY RX500 S7 (Intel Xeon E5-4640),1,IBM Corporation,Intel Xeon E5-4640,2400,4,32,64,48,"2,619,038",420,97.1,"5,350"
Fujitsu,PRIMERGY RX300 S7 (Intel Xeon E5-2660),1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,"1,432,829",245,54,"5,406"
Fujitsu,PRIMERGY RX200 S7 (Intel Xeon E5-2660),1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,"1,442,516",258,59.8,"5,058"
Fujitsu,PRIMERGY RX350 S7 (Intel Xeon E5-2660),1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,"1,432,623",245,55.2,"5,347"
Fujitsu,PRIMERGY TX300 S7 (Intel Xeon E5-2660),1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,"1,440,306",246,55.1,"5,372"
Fujitsu,PRIMERGY TX140 S2 (Intel Xeon E3-1265Lv3),1,IBM Corporation,Intel Xeon E3-1265Lv3,2500,1,4,8,8,"491,887",58.5,19,"6,797"
Fujitsu,PRIMERGY RX300 S8 (Intel Xeon E5-2660 v2),1,IBM Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,48,NC,NC,NC,NC
Fujitsu,PRIMERGY RX350 S8 (Intel Xeon E5-2660 v2),1,IBM Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,48,NC,NC,NC,NC
Fujitsu,PRIMERGY TX300 S8 (Intel Xeon E5-2660 v2),1,IBM Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,48,NC,NC,NC,NC
Fujitsu,PRIMERGY RX200 S8 (Intel Xeon E5-2660 v2),1,IBM Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,48,NC,NC,NC,NC
Fujitsu,PRIMERGY RX100 S8 (Intel Xeon E3-1265Lv3),1,IBM Corporation,Intel Xeon E3-1265Lv3,2500,1,4,8,8,"490,149",69.8,17.7,"6,137"
Fujitsu,"PRIMERGY BX920 S4 (Intel Xeon E5-2470 v2)
",18,IBM Corporation,Intel Xeon E5-2470 v2,2400,36,360,720,864,NC,NC,NC,NC
Fujitsu,FUJITSU Server PRIMERGY TX2540 M1,1,IBM Corporation,Intel Xeon E5-2470 v2,2400,2,20,40,48,NC,NC,NC,NC
Fujitsu,FUJITSU Server PRIMERGY RX1330 M1,1,IBM Corporation,Intel Xeon E3-1275Lv3,2500,1,4,8,16,NC,NC,NC,NC
Fujitsu,FUJITSU Server PRIMERGY RX2540 M1,1,IBM Corporation,Intel Xeon E5-2699 v3,2300,2,36,72,64,"3,257,627",271,39,"10,654"
Fujitsu,"FUJITSU Server PRIMERGY CX2550 M1
",4,IBM Corporation,Intel Xeon E5-2699 v3,2300,8,144,288,256,"12,913,912","1,152",171,"9,971"
Fujitsu,FUJITSU Server PRIMERGY RX2530 M1,1,IBM Corporation,Intel Xeon E5-2699 v3,2300,2,36,72,64,"3,231,698",289,47.3,"9,811"
Fujitsu,FUJITSU Server PRIMERGY TX1320 M1,1,IBM Corporation,Intel Xeon E3-1275Lv3,2700,1,4,8,16,"508,794",60,13.3,"7,535"
Fujitsu,FUJITSU Server PRIMERGY TX2560 M1,1,IBM Corporation,Intel Xeon E5-2699 v3,2300,2,36,72,64,"3,253,898",264,40,"10,685"
Fujitsu,FUJITSU Server PRIMERGY RX2560 M1,1,IBM Corporation,Intel Xeon E5-2699 v3,2300,2,36,72,64,"3,256,040",267,40.1,"10,699"
Fujitsu,FUJITSU Server PRIMERGY RX1330 M1,1,IBM Corporation,Intel Xeon E3-1275Lv3,2700,1,4,8,16,"508,013",63.9,16,"6,916"
Fujitsu,FUJITSU Server PRIMERGY TX1320 M2,1,Oracle Corporation,Intel Xeon E3-1260L v5,2900,1,4,8,16,"478,512",44.7,11.6,"8,944"
Fujitsu,FUJITSU Server PRIMERGY RX1330 M2,1,Oracle Corporation,Intel Xeon E3-1260L v5,2900,1,4,8,16,"474,047",47.7,16,"7,809"
Fujitsu,FUJITSU Server PRIMERGY TX1330 M2,1,Oracle Corporation,Intel Xeon E3-1240L v5,2100,1,4,8,16,"484,122",47.2,16.1,"8,187"
Fujitsu,FUJITSU Server PRIMERGY RX2560 M2,1,Oracle Corporation,Intel Xeon E5-2699 v4,2200,2,44,88,64,"3,448,187",243,41.7,"12,079"
Fujitsu,FUJITSU Server PRIMERGY TX2560 M2,1,Oracle Corporation,Intel Xeon E5-2699 v4,2200,2,44,88,64,"3,440,668",241,41.8,"12,065"
Fujitsu,FUJITSU Server PRIMERGY RX2540 M2,1,Oracle Corporation,Intel Xeon E5-2699 v4,2200,2,44,88,64,"3,445,027",255,43.6,"11,638"
Fujitsu,FUJITSU Server PRIMERGY RX2530 M2,1,Oracle Corporation,Intel Xeon E5-2699 v4,2200,2,44,88,64,"3,448,650",266,49.6,"10,950"
Fujitsu,FUJITSU Server PRIMERGY RX1330 M3,1,Oracle Corporation,Intel Xeon E3-1230 v6,3500,1,4,8,16,"586,973",56.1,13.1,"9,281"
Fujitsu,FUJITSU Server PRIMERGY TX1320 M3,1,Oracle Corporation,Intel Xeon E3-1230 v6,3500,1,4,8,16,"591,742",51.8,9.33,"10,427"
Fujitsu,FUJITSU Server PRIMERGY TX1330 M3,1,Oracle Corporation,Intel Xeon E3-1230 v6,3500,1,4,8,16,"587,425",51.2,12.4,"10,000"
Fujitsu,FUJITSU Server PRIMERGY RX4770 M4,1,Oracle Corporation,Intel Xeon Platinum 8176M,2100,4,112,224,192,"10,536,721",785,148,"11,886"
Fujitsu,FUJITSU Server PRIMERGY RX4770 M4,1,Oracle Corporation,Intel Xeon Platinum 8176M,2100,4,112,224,192,"10,419,443",773,146,"12,008"
Fujitsu,FUJITSU Server PRIMERGY RX4770 M4,1,Oracle Corporation,Intel Xeon Platinum 8176M,2100,4,112,224,192,"10,249,832",733,94.9,"12,828"
Fujitsu,FUJITSU Server PRIMERGY RX2540 M4,1,Oracle Corporation,Intel Xeon Platinum 8176M,2100,2,56,112,192,"5,079,736",355,57.3,"12,842"
Fujitsu,FUJITSU Server PRIMERGY RX1330 M4,1,Oracle Corporation,Intel Xeon E-2176G,3700,1,6,12,16,"651,586",73.9,12.8,"8,924"
Fujitsu,FUJITSU Server PRIMERGY TX1320 M4,1,Oracle Corporation,Intel Xeon E-2176G,3700,1,6,12,16,"655,699",71.7,10,"9,435"
Fujitsu,FUJITSU Server PRIMERGY TX1330 M4,1,Oracle Corporation,Intel Xeon E-2176G,3700,1,6,12,16,"652,874",72.9,14.9,"9,031"
Fujitsu,FUJITSU Server PRIMERGY RX2540 M5,1,Oracle Corporation,Intel Xeon Platinum 8276L,2300,2,56,112,192,"4,657,126",332,58.2,"11,991"
Fujitsu,FUJITSU Server PRIMERGY RX4770 M5,1,Oracle Corporation,Intel Xeon Platinum 8276L,2300,4,112,224,384,"9,432,104",710,113,"11,444"
Fujitsu,FUJITSU Server PRIMERGY RX2530 M5,1,Oracle Corporation,Intel Xeon Platinum 8276L,2200,2,56,112,192,"5,189,194",367,53.6,"13,006"
Fujitsu,"FUJITSU Server PRIMERGY CX2560 M5
",4,Oracle Corporation,Intel Xeon Platinum 6252,2100,8,192,384,768,"17,566,126","1,412",329,"10,619"
Fujitsu,FUJITSU Server PRIMERGY RX2540 M5,1,Oracle Corporation,Intel Xeon Platinum 8280L,2700,2,56,112,192,"5,514,468",388,58.3,"13,502"
Fujitsu,FUJITSU Server PRIMERGY RX4770 M5,1,Oracle Corporation,Intel Xeon Platinum 8280L,2700,4,112,224,384,"11,162,949",808,120,"12,979"
Fujitsu,FUJITSU Server PRIMERGY TX1320 M4,1,Oracle Corporation,Intel Xeon E-2176G,3700,1,6,12,16,"695,687",61.8,11.7,"11,089"
Fujitsu,FUJITSU Server PRIMERGY TX2550 M5,1,Oracle Corporation,Intel Xeon Gold 6252 Processor,2100,2,48,96,96,"4,507,558",342,54.8,"11,901"
Fujitsu,FUJITSU Server PRIMERGY RX2520 M5,1,Oracle Corporation,Intel Xeon Gold 5220,2200,2,36,72,192,"3,872,265",318,61.5,"10,765"
Fujitsu,FUJITSU Server PRIMERGY TX1320 M4,1,Oracle Corporation,Intel Xeon E-2288G,3700,1,8,16,16,"797,225",56,16.3,"12,364"
Fujitsu,FUJITSU Server PRIMERGY TX1330 M4,1,Oracle Corporation,Intel Xeon E-2288G,3700,1,8,16,16,"776,812",53.2,15.9,"12,631"
Fujitsu,FUJITSU Server PRIMERGY RX1330 M4,1,Oracle Corporation,Intel Xeon E-2288G,3700,1,8,16,16,"786,578",57.4,16.8,"11,660"
Fujitsu,FUJITSU Server PRIMERGY LX1430 M1,1,Oracle Corporation,AMD EPYC 7742 2.25GHz,2250,1,64,128,256,"5,816,214",250,60.8,"17,278"
Fujitsu,FUJITSU Server PRIMERGY RX4770 M6,1,Oracle Corporation,Intel Xeon Platinum 8380H,2900,4,112,224,384,"9,904,110",834,129,"11,077"
Fujitsu,PRIMERGY RX2530 M6,1,Oracle Corporation,Intel Xeon Platinum 8380,2300,2,80,160,256,"7,573,884",580,131,"11,533"
Fujitsu,PRIMERGY RX2530 M6,1,Oracle Corporation,Intel Xeon Platinum 8380,2300,2,80,160,256,"7,967,827",568,132,"12,066"
Fujitsu,PRIMERGY RX2540 M6,1,Oracle Corporation,Intel Xeon Platinum 8380,2300,2,80,160,256,"7,594,068",564,135,"11,652"
Fujitsu,PRIMERGY RX2540 M6,1,Oracle Corporation,Intel Xeon Platinum 8380,2300,2,80,160,256,"7,972,718",550,137,"12,211"
Fujitsu,"FUJITSU Server PRIMERGY CX2560 M6
",4,Oracle Corporation,Intel Xeon Gold 5318Y,2100,8,192,384,"1,024","19,762,291","1,906",472,"8,903"
Fujitsu,"FUJITSU Server PRIMERGY CX2560 M6
",4,Oracle Corporation,Intel Xeon Gold 5318Y,2100,8,192,384,"1,024","18,526,911","1,600",482,"9,077"
Fujitsu,FUJITSU Server PRIMERGY TX1310 M5 (D3930-A100),1,Oracle Corporation,Intel Xeon E-2356G,3200,1,6,12,16,"655,851",55.5,11.7,"9,596"
Fujitsu,FUJITSU Server PRIMERGY TX1310 M5 (D3930-A100),1,Oracle Corporation,Intel Xeon E-2356G,3200,1,6,12,16,"662,193",59.4,11.7,"10,707"
Fujitsu,FUJITSU Server PRIMERGY TX1310 M5 (D3931-C100),1,Oracle Corporation,Intel Xeon E-2356G (Intel Turbo Boost Technology up to 5.0GHz),3200,1,6,12,16,"659,394",58.9,15.6,"9,993"
Fujitsu,FUJITSU Server PRIMERGY TX1310 M5 (D3931-C100),1,Oracle Corporation,Intel Xeon E-2356G,3200,1,6,12,16,"668,541",61.9,18.6,"8,241"
Fujitsu,FUJITSU Server PRIMERGY TX1320 M5,1,Oracle Corporation,Intel Xeon E-2388G (Intel Turbo Boost Technology up to 5.1GHz),3200,1,8,16,16,"767,959",62.5,17.6,"10,550"
Fujitsu,FUJITSU Server PRIMERGY TX1320 M5,1,Oracle Corporation,Intel Xeon E-2388G,3200,1,8,16,16,"823,469",80.4,21.2,"8,212"
Fujitsu,FUJITSU Server PRIMERGY TX1330 M5,1,Oracle Corporation,Intel Xeon E-2388G (Intel Turbo Boost Technology up to 5.1GHz),3200,1,8,16,16,"829,272",73.6,18,"10,857"
Fujitsu,FUJITSU Server PRIMERGY TX1330 M5,1,Oracle Corporation,Intel Xeon E-2388G,3200,1,8,16,16,"825,045",75.7,20.6,"8,643"
Fujitsu,FUJITSU Server PRIMERGY RX1330 M5,1,Oracle Corporation,Intel Xeon E-2388G (Intel Turbo Boost Technology up to 5.1GHz),3200,1,8,16,16,"820,751",70.5,17.9,"10,767"
Fujitsu,FUJITSU Server PRIMERGY RX1330 M5,1,Oracle Corporation,Intel Xeon E-2388G,3200,1,8,16,16,"810,100",72.7,20.5,"8,700"
"Fujitsu
",PRIMERGY TX150 S6 (Intel Xeon L3360),1,Oracle Corporation,Intel Xeon L3360,2833,1,4,4,4,"196,734",98.4,51.7,"1,271"
"Fujitsu
",PRIMERGY RX100 S5 (Intel Xeon L3360),1,Oracle Corporation,Intel Xeon L3360,2833,1,4,4,4,"196,279",109,63.1,"1,118"
"Fujitsu
",PRIMERGY RX200 S4 (Intel Xeon L5430),1,Oracle Corporation,Intel Xeon L5430,2667,2,8,8,8,"327,292",231,154,851
"Fujitsu
",PRIMERGY RX300 S4 (Intel Xeon L5430),1,Oracle Corporation,Intel Xeon L5430,2667,2,8,8,8,"325,849",235,147,855
"Fujitsu
",PRIMERGY TX300 S4 (Intel Xeon L5430),1,Oracle Corporation,Intel Xeon L5430,2667,2,8,8,8,"326,128",221,136,917
Fujitsu Siemens Computers,PRIMERGY RX300 S3 (Intel Xeon L5335),1,"BEA Systems, Inc.",Intel Xeon  L5335,2000,2,8,8,16,"201,689",260,187,446
Fujitsu Siemens Computers,PRIMERGY TX120 (Intel Xeon 3070),1,"BEA Systems, Inc.",Intel Xeon 3070,2666,1,2,2,4,"79,171",109,66.8,454
Fujitsu Siemens Computers,PRIMERGY TX150 S5 (Intel Xeon 3070),1,"BEA Systems, Inc.",Intel Xeon 3070,2666,1,2,2,4,"78,685",131,90.8,356
Fujitsu Siemens Computers,PRIMERGY TX150 S6 (Intel Xeon X3220),1,"Bea Systems, Inc",Intel Xeon X3220,2400,1,4,4,8,"143,742",132,79.8,667
Fujitsu Siemens Computers,PRIMERGY RX300 S4 (INTEL Xeon E5440),1,"BEA Systems, Inc.",Intel Xeon E5440,2830,2,8,8,16,"303,846",265,166,690
Fujitsu Siemens Computers,PRIMERGY TX150 S6 (Intel Xeon X3360),1,"Bea Systems, Inc",Intel Xeon X3360,2833,1,4,4,8,"184,145",116,59.3,"1,018"
Fujitsu Siemens Computers,PRIMERGY TX150 S6 (Intel Xeon X3360),1,"Bea Systems, Inc",Intel Xeon X3360,2833,1,4,4,4,"186,987",107,53.1,"1,124"
