TestSponsor,SystemName,Parallel,BaseThreads,EnabledCores,EnabledChips,Threads/Core,Base,Peak,EnergyBase,EnergyPeak
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2124)",Yes,4,4,1,1,26.3&nbsp;,26.6&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2124G)",Yes,4,4,1,1,26.7&nbsp;,27.1&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.20 GHz, Intel Xeon E-2104G)",Yes,4,4,1,1,23.9&nbsp;,24.2&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)",Yes,56,56,2,1,164&nbsp;&nbsp;&nbsp;,165&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)",Yes,56,56,2,1,163&nbsp;&nbsp;&nbsp;,164&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2126G)",Yes,6,6,1,1,31.6&nbsp;,32.0&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2146G)",Yes,12,6,1,2,32.1&nbsp;,32.4&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.60 GHz, Intel Xeon Gold 6244)",Yes,32,16,2,2,114&nbsp;&nbsp;&nbsp;,115&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Platinum 8276M)",Yes,56,56,2,1,152&nbsp;&nbsp;&nbsp;,152&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2134)",Yes,8,4,1,2,27.7&nbsp;,28.0&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz, Intel Xeon Gold 6238T)",Yes,44,44,2,1,137&nbsp;&nbsp;&nbsp;,138&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.30 GHz, Intel Xeon Gold 6246)",Yes,24,24,2,1,133&nbsp;&nbsp;&nbsp;,134&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Platinum 8253)",Yes,32,32,2,1,120&nbsp;&nbsp;&nbsp;,120&nbsp;&nbsp;&nbsp;,--,--
