TestSponsor,SystemName,BaseCopies,EnabledCores,EnabledChips,Threads/Core,Base,Peak,EnergyBase,EnergyPeak
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2186G)",12,6,1,2,43.8&nbsp;,46.8&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E9(KNPA-U16) Server System (2.20 GHz, AMD EPYC 7601 32-Core)",64,32,1,2,142&nbsp;&nbsp;&nbsp;,156&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.70 GHz, Intel Xeon E-2176G)",12,6,1,2,43.5&nbsp;,46.6&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2136)",12,6,1,2,43.0&nbsp;,46.1&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2174G)",8,4,1,2,31.4&nbsp;,33.5&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9(KNPP-D32) Server System (2.20 GHz, AMD EPYC 7601)",128,64,2,2,304&nbsp;&nbsp;&nbsp;,323&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz, Intel Xeon Silver 4116)",48,24,2,2,120&nbsp;&nbsp;&nbsp;,125&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2124)",4,4,1,1,24.3&nbsp;,25.6&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2124G)",4,4,1,1,25.3&nbsp;,26.7&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.20 GHz, Intel Xeon E-2104G)",4,4,1,1,20.6&nbsp;,21.7&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)",112,56,2,2,361&nbsp;&nbsp;&nbsp;,378&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)",112,56,2,2,364&nbsp;&nbsp;&nbsp;,381&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2126G)",6,6,1,1,39.2&nbsp;,40.5&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2146G)",12,6,1,2,46.2&nbsp;,48.4&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.60 GHz, Intel Xeon Gold 6244)",32,16,2,2,144&nbsp;&nbsp;&nbsp;,148&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Platinum 8276M)",112,56,2,2,338&nbsp;&nbsp;&nbsp;,353&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2134)",8,4,1,2,33.0&nbsp;,34.4&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz, Intel Xeon Gold 6238T)",88,44,2,2,253&nbsp;&nbsp;&nbsp;,262&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.30 GHz, Intel Xeon Gold 6246)",48,24,2,2,204&nbsp;&nbsp;&nbsp;,211&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Platinum 8253)",64,32,2,2,177&nbsp;&nbsp;&nbsp;,182&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.60 GHz, Intel Xeon E-2144G)",8,4,1,2,33.2&nbsp;,34.6&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Gold 6230)",80,40,2,2,238&nbsp;&nbsp;&nbsp;,247&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Gold 6248)",80,40,2,2,266&nbsp;&nbsp;&nbsp;,276&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Gold 6226)",48,24,2,2,175&nbsp;&nbsp;&nbsp;,181&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Gold 5220)",72,36,2,2,212&nbsp;&nbsp;&nbsp;,221&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.00 GHz, Intel Xeon Gold 5217)",32,16,2,2,115&nbsp;&nbsp;&nbsp;,119&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz, Intel Xeon Gold 5218)",64,32,2,2,194&nbsp;&nbsp;&nbsp;,201&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz, Intel Xeon Gold 5218B)",64,32,2,2,194&nbsp;&nbsp;&nbsp;,201&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Gold 5215)",40,20,2,2,129&nbsp;&nbsp;&nbsp;,134&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.40 GHz, Intel Xeon E-2124G)",4,4,1,1,28.4&nbsp;,29.2&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.20 GHz, Intel Xeon E-2104G)",4,4,1,1,23.1&nbsp;,23.7&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz, Intel Xeon E-2124)",4,4,1,1,27.3&nbsp;,28.1&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Silver 4214)",48,24,2,2,142&nbsp;&nbsp;&nbsp;,147&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Silver 4215)",32,16,2,2,103&nbsp;&nbsp;&nbsp;,107&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Silver 4216)",64,32,2,2,186&nbsp;&nbsp;&nbsp;,193&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Silver 4208)",32,16,2,2,87.6&nbsp;,90.3&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Silver 4210)",40,20,2,2,117&nbsp;&nbsp;&nbsp;,120&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.70 GHz, Intel Xeon E-2176G)",12,6,1,2,47.6&nbsp;,49.9&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz, Intel Xeon Bronze 3204)",12,12,2,1,42.1&nbsp;,42.9&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz, Intel Xeon E-2126G)",6,6,1,1,40.8&nbsp;,42.2&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.50 GHz, Intel Xeon E-2134)",8,4,1,2,34.3&nbsp;,35.7&nbsp;,--,--
